Date,AMZN,BTC-USD,F
2019-08-01 00:00:00+00:00,92.76599884033203,10399.6689453125,7.005560398101807
2019-08-02 00:00:00+00:00,91.16200256347656,10518.1748046875,6.982986927032471
2019-08-03 00:00:00+00:00,,10821.7265625,
2019-08-04 00:00:00+00:00,,10970.1845703125,
2019-08-05 00:00:00+00:00,88.25650024414062,11805.6533203125,6.945361614227295
2019-08-06 00:00:00+00:00,89.3915023803711,11478.1689453125,7.133481979370117
2019-08-07 00:00:00+00:00,89.66999816894531,11941.96875,7.171104431152344
2019-08-08 00:00:00+00:00,91.64450073242188,11966.4072265625,7.1936798095703125
2019-08-09 00:00:00+00:00,90.37899780273438,11862.9365234375,7.110908031463623
2019-08-10 00:00:00+00:00,,11354.0244140625,
2019-08-11 00:00:00+00:00,,11523.5791015625,
2019-08-12 00:00:00+00:00,89.24600219726562,11382.6162109375,6.990511417388916
2019-08-13 00:00:00+00:00,91.21700286865234,10895.830078125,6.9679365158081055
2019-08-14 00:00:00+00:00,88.14800262451172,10051.7041015625,6.7722930908203125
2019-08-15 00:00:00+00:00,88.80599975585938,10311.5458984375,6.66694450378418
2019-08-16 00:00:00+00:00,89.62850189208984,10374.3388671875,6.742194175720215
2019-08-17 00:00:00+00:00,,10231.744140625,
2019-08-18 00:00:00+00:00,,10345.810546875,
2019-08-19 00:00:00+00:00,90.80599975585938,10916.0537109375,6.794866561889648
2019-08-20 00:00:00+00:00,90.06900024414062,10763.232421875,6.742194175720215
2019-08-21 00:00:00+00:00,91.177001953125,10138.0498046875,6.802391052246094
2019-08-22 00:00:00+00:00,90.23300170898438,10131.0556640625,6.802391052246094
2019-08-23 00:00:00+00:00,87.48100280761719,10407.96484375,6.599222183227539
2019-08-24 00:00:00+00:00,,10159.9609375,
2019-08-25 00:00:00+00:00,,10138.517578125,
2019-08-26 00:00:00+00:00,88.44349670410156,10370.8203125,6.636846542358398
2019-08-27 00:00:00+00:00,88.09149932861328,10185.5,6.591697692871094
2019-08-28 00:00:00+00:00,88.2125015258789,9754.4228515625,6.7722930908203125
2019-08-29 00:00:00+00:00,89.31999969482422,9510.2001953125,6.8625898361206055
2019-08-30 00:00:00+00:00,88.81449890136719,9598.173828125,6.900213718414307
2019-08-31 00:00:00+00:00,,9630.6640625,
2019-09-01 00:00:00+00:00,,9757.970703125,
2019-09-02 00:00:00+00:00,,10346.7607421875,
2019-09-03 00:00:00+00:00,89.49199676513672,10623.5400390625,6.847541809082031
2019-09-04 00:00:00+00:00,90.03099822998047,10594.4931640625,6.922787666320801
2019-09-05 00:00:00+00:00,92.03600311279297,10575.533203125,7.028134822845459
2019-09-06 00:00:00+00:00,91.67549896240234,10353.302734375,7.028134822845459
2019-09-07 00:00:00+00:00,,10517.2548828125,
2019-09-08 00:00:00+00:00,,10441.2763671875,
2019-09-09 00:00:00+00:00,91.56749725341797,10334.974609375,7.1786298751831055
2019-09-10 00:00:00+00:00,91.02749633789062,10115.9755859375,7.088332653045654
2019-09-11 00:00:00+00:00,91.14949798583984,10178.3720703125,7.088332653045654
2019-09-12 00:00:00+00:00,92.17749786376953,10410.126953125,7.080808162689209
2019-09-13 00:00:00+00:00,91.96700286865234,10360.546875,7.110908031463623
2019-09-14 00:00:00+00:00,,10358.048828125,
2019-09-15 00:00:00+00:00,,10347.712890625,
2019-09-16 00:00:00+00:00,90.39199829101562,10276.7939453125,6.998037338256836
2019-09-17 00:00:00+00:00,91.12750244140625,10241.2724609375,6.982986927032471
2019-09-18 00:00:00+00:00,90.87300109863281,10198.248046875,6.960411548614502
2019-09-19 00:00:00+00:00,91.07499694824219,10266.4150390625,6.847541809082031
2019-09-20 00:00:00+00:00,89.70800018310547,10181.6416015625,6.900213718414307
2019-09-21 00:00:00+00:00,,10019.716796875,
2019-09-22 00:00:00+00:00,,10070.392578125,
2019-09-23 00:00:00+00:00,89.26499938964844,9729.32421875,6.892688751220703
2019-09-24 00:00:00+00:00,87.08049774169922,8620.56640625,6.855064392089844
2019-09-25 00:00:00+00:00,88.41649627685547,8486.9931640625,6.922787666320801
2019-09-26 00:00:00+00:00,86.99199676513672,8118.9677734375,6.877639293670654
2019-09-27 00:00:00+00:00,86.27249908447266,8251.845703125,6.832489967346191
2019-09-28 00:00:00+00:00,,8245.9150390625,
2019-09-29 00:00:00+00:00,,8104.185546875,
2019-09-30 00:00:00+00:00,86.79550170898438,8293.8681640625,6.892688751220703
2019-10-01 00:00:00+00:00,86.78250122070312,8343.2763671875,6.697044849395752
2019-10-02 00:00:00+00:00,85.6614990234375,8393.0419921875,6.47882604598999
2019-10-03 00:00:00+00:00,86.22100067138672,8259.9921875,6.554073810577393
2019-10-04 00:00:00+00:00,86.98249816894531,8205.939453125,6.576648235321045
2019-10-05 00:00:00+00:00,,8151.50048828125,
2019-10-06 00:00:00+00:00,,7988.15576171875,
2019-10-07 00:00:00+00:00,86.63300323486328,8245.623046875,6.531498908996582
2019-10-08 00:00:00+00:00,85.27549743652344,8228.783203125,6.42615270614624
2019-10-09 00:00:00+00:00,86.09950256347656,8595.740234375,6.441203594207764
2019-10-10 00:00:00+00:00,86.01300048828125,8586.4736328125,6.486350059509277
2019-10-11 00:00:00+00:00,86.59600067138672,8321.7568359375,6.606747627258301
2019-10-12 00:00:00+00:00,,8336.5556640625,
2019-10-13 00:00:00+00:00,,8321.005859375,
2019-10-14 00:00:00+00:00,86.82150268554688,8374.6865234375,6.636846542358398
2019-10-15 00:00:00+00:00,88.36900329589844,8205.369140625,6.824965953826904
