Date,AAPL,F,WMT
2018-01-02,40.42683410644531,8.470927238464355,29.041027069091797
2018-01-03,40.419776916503906,8.537841796875,29.294357299804688
2018-01-04,40.6075325012207,8.685042381286621,29.320863723754883
2018-01-05,41.06985855102539,8.832245826721191,29.494651794433594
2018-01-08,40.917320251464844,8.798789978027344,29.93061065673828
2018-01-09,40.91262435913086,8.751954078674316,29.571243286132812
2018-01-10,40.903236389160156,8.718498229980469,29.359153747558594
2018-01-11,41.13556671142578,8.8054838180542,29.46225929260254
2018-01-12,41.56034851074219,8.85231876373291,29.712623596191406
2018-01-16,41.34913635253906,8.765337944030762,29.65961265563965
2018-01-17,42.032081604003906,8.14975643157959,30.25168228149414
2018-01-18,42.06962203979492,8.076152801513672,30.722986221313477
2018-01-19,41.881874084472656,8.029316902160645,30.808414459228516
2018-01-22,41.53923034667969,8.04269790649414,31.061744689941406
2018-01-23,41.548622131347656,8.002552032470703,31.194293975830078
2018-01-24,40.88681411743164,8.06277084350586,31.16189193725586
2018-01-25,40.15693283081055,7.741598606109619,31.400487899780273
2018-01-26,40.25080108642578,7.795125961303711,31.927759170532227
2018-01-29,39.41767501831055,7.623730182647705,32.26945114135742
2018-01-30,39.18534469604492,7.5825958251953125,31.733333587646484
2018-01-31,39.29328918457031,7.520894527435303,31.400487899780273
2018-02-01,39.37544631958008,7.4866132736206055,31.082351684570312
2018-02-02,37.666934967041016,7.342639923095703,30.776012420654297
2018-02-05,36.7258415222168,7.020413875579834,29.482873916625977
2018-02-06,38.26068878173828,7.376919746398926,29.721467971801758
2018-02-07,37.44163131713867,7.376919746398926,30.295867919921875
2018-02-08,36.41136169433594,7.150674819946289,29.46225929260254
2018-02-09,36.85673141479492,7.219233512878418,29.270795822143555
2018-02-12,38.341278076171875,7.335784435272217,29.323806762695312
2018-02-13,38.725364685058594,7.260369777679443,29.745040893554688
2018-02-14,39.439369201660156,7.363206386566162,29.957122802734375
2018-02-15,40.763668060302734,7.376919746398926,30.40780258178711
2018-02-16,40.631710052490234,7.274079322814941,30.86437225341797
2018-02-20,40.495033264160156,7.287792682647705,27.72138023376465
2018-02-21,40.31123352050781,7.267223834991455,26.958467483520508
2018-02-22,40.64821243286133,7.287792682647705,27.3266658782959
2018-02-23,41.35511779785156,7.335784435272217,27.362016677856445
2018-02-26,42.172821044921875,7.4660468101501465,27.42976951599121
2018-02-27,42.036128997802734,7.274079322814941,26.958467483520508
2018-02-28,41.97251510620117,7.274079322814941,26.513673782348633
2018-03-01,41.237308502197266,7.05469274520874,26.23972511291504
2018-03-02,41.52243423461914,7.130105495452881,26.148408889770508
2018-03-05,41.66615676879883,7.253513813018799,26.50483512878418
2018-03-06,41.630821228027344,7.287792682647705,26.233835220336914
2018-03-07,41.24437713623047,7.287792682647705,25.84501838684082
2018-03-08,41.694454193115234,7.274079322814941,26.05243682861328
2018-03-09,42.41080856323242,7.356350898742676,26.289493560791016
2018-03-12,42.82082748413086,7.411198616027832,26.096887588500977
2018-03-13,42.40845489501953,7.390630722045898,26.165037155151367
2018-03-14,42.04790496826172,7.555171966552734,25.978357315063477
2018-03-15,42.09740447998047,7.589450359344482,25.93094253540039
2018-03-16,41.948951721191406,7.6442975997924805,26.422840118408203
2018-03-19,41.30799865722656,7.548316955566406,25.913162231445312
2018-03-20,41.29386520385742,7.534604549407959,26.061328887939453
2018-03-21,40.358360290527344,7.610018730163574,26.129478454589844
2018-03-22,39.78810119628906,7.370061874389648,25.821308135986328
2018-03-23,38.86674880981445,7.239803314208984,25.3116397857666
2018-03-26,40.711822509765625,7.4249114990234375,25.927980422973633
2018-03-27,39.66792678833008,7.4249114990234375,25.498321533203125
2018-03-28,39.229637145996094,7.445478439331055,26.00798988342285
2018-03-29,39.53597640991211,7.596308708190918,26.36357307434082
2018-04-02,39.27676773071289,7.445478439331055,25.35015869140625
2018-04-03,39.67972183227539,7.6442975997924805,25.72056007385254
2018-04-04,40.43848419189453,7.767704010009766,25.845008850097656
2018-04-05,40.71889877319336,7.7814178466796875,26.01984214782715
2018-04-06,39.67735290527344,7.664865970611572,25.687965393066406
2018-04-09,40.07088088989258,7.712856292724609,25.566476821899414
2018-04-10,40.824928283691406,7.849974155426025,25.61684799194336
2018-04-11,40.634071350097656,7.836260795593262,25.456830978393555
2018-04-12,41.03465270996094,7.753991603851318,25.314599990844727
2018-04-13,41.17369079589844,7.733424186706543,25.489429473876953
2018-04-16,41.43053436279297,7.801982879638672,25.73241424560547
2018-04-17,42.00078582763672,7.801982879638672,26.0465087890625
2018-04-18,41.90652847290039,7.767704010009766,25.94872283935547
2018-04-19,40.71889877319336,7.6148505210876465,26.04354476928711
2018-04-20,39.05055618286133,7.517581939697266,25.773897171020508
2018-04-23,38.93743896484375,7.670435428619385,25.513137817382812
2018-04-24,38.395469665527344,7.6148505210876465,25.64055061340332
2018-04-25,38.562774658203125,7.7190680503845215,25.830198287963867
2018-04-26,38.69708251953125,7.941401481628418,26.05836296081543
2018-04-27,38.24937438964844,7.983086585998535,25.86576271057129
2018-04-30,38.9421501159668,7.809391021728516,26.212451934814453
2018-05-01,39.847015380859375,7.823287487030029,25.901317596435547
2018-05-02,41.60727310180664,7.788548469543457,25.584247589111328
2018-05-03,41.68266677856445,7.781599998474121,25.551654815673828
2018-05-04,43.31803512573242,7.892764568328857,25.936874389648438
2018-05-07,43.63142395019531,7.878868579864502,25.32645034790039
2018-05-08,43.84114074707031,7.830235004425049,25.406461715698242
2018-05-09,44.14984130859375,7.684329509735107,24.612327575683594
